Название,Метро,Удаленность,Телефон,Сайт,Рейтинг,Парикмахерский зал (женский),Парикмахерский зал (мужской),Ногтевой сервис (женский),Ногтевой сервис (мужской),Ресницы,Шугаринг,Лазерная эпиляция,Элетроэпиляция,Брови,Визажист,Косметология,Перманентный макияж,Массаж,Солярий
Салон Алгоритм,Сретенский бульвар,2 минуты,7(969)-0-459-459,https://algorithmbc.ru/,5,1,1,1,1,1,1,0,0,1,1,0,0,1,1
S-tet,Сретенский бульвар,1 минута,7 (916) 807-83-83,http://salonstet.ru/,4.6,1,1,1,0,1,1,0,0,1,1,0,0,0,0
Nailon Studio,Сретенский бульвар,3 минуты,7 (495) 120-180-3,https://nailonstudio.ru/,4.7,1,0,1,0,1,1,0,0,1,1,0,1,0,0
Пальчики,Сретенский бульвар,9 минут,7 (495) 279-90-19,https://palchiki.com/,4.7,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Триактив ,Чистые пруды,1 минута,7 (495) 877-38-67,https://triaktiv.ru/,4.9,0,0,0,0,0,0,1,1,0,0,1,1,1,0
BeautyWay,Чистые пруды,2 минуты,7(495) 260-34-16,https://bwclinic.ru/,5,0,0,0,0,0,0,1,1,0,0,1,1,1,0
Красивые Люди,Чистые пруды,2 минуты,7 (985) 728-45-88,https://krasiviepeople.ru/,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Mone ,Чистые пруды,3 минуты,7 (968) 579-96-23,https://salonmone.ru/,5,1,1,1,1,1,1,0,0,1,1,0,0,0,1
Soho Nails,Чистые пруды,3 минуты,7 (495) 978 24 28,http://sohonails.ru/,4.9,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Салон Алгоритм,Чистые пруды,2 минуты,7(969)-0-459-459,https://algorithmbc.ru/,5,1,1,1,1,1,1,0,0,1,1,0,0,1,1
S-tet,Чистые пруды,1 минута,7 (916) 807-83-83,http://salonstet.ru/,4.6,1,1,1,0,1,1,0,0,1,1,0,0,0,0
Nailon Studio,Чистые пруды,3 минуты,7 (495) 120-180-3,https://nailonstudio.ru/,4.7,1,0,1,0,1,1,0,0,1,1,0,1,0,0
Пальчики,Чистые пруды,9 минут,7 (495) 279-90-19,https://palchiki.com/,4.7,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Триактив ,Тургеневская,1 минута,7 (495) 877-38-67,https://triaktiv.ru/,4.9,0,0,0,0,0,0,1,1,0,0,1,1,1,0
BeautyWay,Тургеневская,2 минуты,7(495) 260-34-16,https://bwclinic.ru/,5,0,0,0,0,0,0,1,1,0,0,1,1,1,0
Красивые Люди,Тургеневская,2 минуты,7 (985) 728-45-88,https://krasiviepeople.ru/,5,1,1,1,1,1,1,1,0,1,1,1,1,1,1
Mone ,Тургеневская,3 минуты,7 (968) 579-96-23,https://salonmone.ru/,5,1,1,1,1,1,1,0,0,1,1,0,0,0,1
Soho Nails,Тургеневская,3 минуты,7 (495) 978 24 28,http://sohonails.ru/,4.9,0,0,1,1,1,0,0,0,1,0,0,0,0,0
Салон Алгоритм,Тургеневская,2 минуты,7(969)-0-459-459,https://algorithmbc.ru/,5,1,1,1,1,1,1,0,0,1,1,0,0,1,1
S-tet,Тургеневская,1 минута,7 (916) 807-83-83,http://salonstet.ru/,4.6,1,1,1,0,1,1,0,0,1,1,0,0,0,0
Nailon Studio,Тургеневская,3 минуты,7 (495) 120-180-3,https://nailonstudio.ru/,4.7,1,0,1,0,1,1,0,0,1,1,0,1,0,0
Пальчики,Тургеневская,9 минут,7 (495) 279-90-19,https://palchiki.com/,4.7,0,0,1,1,0,0,0,0,0,0,0,0,0,0
City Nails,Чкаловская,3 минуты,7(499) 686-18-66,https://citynails.studio/,4.6,1,1,1,1,1,1,0,0,1,1,1,1,,
Epilas,Чкаловская,5 минут,7 (800) 22-000-22,https://epilas.ru/services,4.9,0,0,0,0,0,0,1,1,0,0,1,1,,
EverGlow,Чкаловская,1 минута,7(499) 113-65-54,https://ever-glow.ru/,5,0,0,0,0,0,0,1,1,0,0,1,1,,
Beaty Space,Чкаловская,2 минуты,7 (495) 920 09 87,https://www.beautyspace.studio/,4.3,1,1,1,1,1,1,1,0,1,1,0,0,,
BeatyQstudio,Чкаловская,3 минуты,7 (969) 777-45-79,https://beautiqstudio.ru/,5,1,1,1,1,1,1,1,1,1,1,1,1,,
